Blink_Ratio,Blink_Length
6,0.169382833333
8,0.171844375
7,0.1952934
8,0.1855843
8,0.1926164
9,0.2081262
9,0.2223017
12,0.2067551
8,0.2012499
6,0.1857615
8,0.1714536
9,0.1546422
2,0.198629
5,0.1347032
6,0.194954875
6,0.184312333333
5,0.167787
5,0.193078
7,0.1925791
9,0.244485
9,0.2291417
7,0.2378151
6,0.2211258
8,0.2320153
6,0.2399075
5,0.2237009
5,0.2149902
5,0.2197531
5,0.2133713
5,0.2036684
9,0.1680175
10,0.188257
9,0.2993423
2,0.2314765
4,0.196409
3,0.2103062
4,0.178401285714
4,0.211745
5,0.2085295
5,0.2085295
2,0.1806579
4,0.1680207
6,0.1813467
4,0.1909429
2,0.1718359
3,0.1445382
2,0.1366274
2,0.1470872
2,0.1470872
2,0.1671995
4,0.1834489
3,0.1728257
3,0.1728257
2,0.1624029
5,0.1782719
6,0.1556602
7,0.1151083
7,0.1071904
10,0.1597041
14,0.1779633
11,0.1919037
11,0.2177512
4,0.1798662
5,0.1490959
5,0.1578858
4,0.1670911
4,0.157079
5,0.1566139
5,0.1773814
5,0.2037671
6,0.2007766
10,0.2033648
15,0.2706217
13,0.3868161
8,0.2904067
11,0.2368863
11,0.2035956
10,0.1988528
14,0.2426099
13,0.2276517
8,0.2043164
5,0.2208647
6,0.2042396
9,0.194062
15,0.1521461
16,0.1673014
4,0.1768091
3,0.1951891
8,0.2210496
7,0.2062221
4,0.2059819
6,0.2428291
7,0.2857466
6,0.2713091
12,0.2045684
13,0.2042017
9,0.1944824
4,0.2125462
4,0.1939113
6,0.1971119
5,0.2146574
2,0.1877799
3,0.2049333
4,0.17540575
6,0.169992833333
7,0.164322625
5,0.1622413
5,0.1873796
9,0.1572118
11,0.1257076
8,0.1260256
8,0.1430158
11,0.2020771
14,0.1905197
13,0.1867323
13,0.2927832
12,0.2998843
9,0.2123861
7,0.2047221
7,0.2032237
7,0.1813608
7,0.1974663
5,0.2496293
3,0.3296075
3,0.3296075
3,0.2996971
2,0.2978292
2,0.2978292
3,0.3089311
3,0.2961222
5,0.2056938
5,0.2056938
3,0.145191
3,0.1459075
8,0.2089993
3,0.145061
3,0.145061
2,0.13559425
4,0.142098857143
6,0.135372777778
6,0.135372777778
1,0.1433483
2,0.1306813
3,0.1300448
8,0.1590856
8,0.1679994
4,0.1978508
4,0.1934013
6,0.1831356
4,0.1812457
9,0.2126858
12,0.2012492
7,0.1523982
6,0.1862653
6,0.2052607
